brand,type,style,mpg,cyl,disp,wt,gear,carb,price
Mazda,coupe,basic,21,-6,160,2.62,4,4,33500
Mazda,station,medium,21,6,160,2.875,4.1,4,32500
Datsun,limosine,basic,0,4,108,2.32,3.9,1,16000
Hornet,station,basic,21.4,6,258,3.215,3.2,1,26700
Hornet,station,basic,18.7,8,360,3.44,3,2,25350
Vailant,limosine,basic,18.1,6,225,346,2.9,1,21050
Duster,limosine,basic,14.3,8,360,3.57,2.8,4,19650
Mercedes,limosine,basic,24.4,4,146.7,3.19,4,2,36200
Mercedes,station,basic,,4,140.8,3.15,3.9,2,26000
Mercedes,limosine,medium,19.2,6,167.6,3.44,4.1,4,34600
Mercedes,limosine,medium,17.8,6,167.6,3.44,4.1,4,33900
Mercedes,limosine,luxus,16.4,8,275.8,4.07,3,3,
Mercedes,convertible,luxus,17.3,8,275.8,3.73,3.1,3,40650
Mercedes,coupe,luxus,0,8,275.8,3.78,3.2,3,30000
Cadillac,ship,luxus,10.4,8,472,5.25,3,4,34200
Lincoln,limosine,basic,10.4,8,460,5.424,2.9,4,31700
Chrystler,limosine,basic,14.7,8,440,5.345,3.4,4,25350
Fiat,limosine,basic,32.4,4,78.7,22,4,1,31200
Honda,hatchback,basic,30.4,4,75.7,1.615,3.9,2,26200
Toyota,hatchback,medium,33.9,4,71.1,1.835,4.2,1,35950
Toyota,hatchback,basic,,4,120.1,2.465,3.3,1,18000
Dodge,limosine,medium,15.5,-8,318,3.52,3.2,2,23250
AMC,coupe,medium,15.2,8,304,3.435,2.8,2,24600
Chevorlet,coupe,medium,13.3,8,350,3.84,3,4,25150
Pontiac,coupe,medium,19.2,8,400,3.845,2.9,2,28200
Fiat,coupe,basic,27.3,4,79,1.935,4.1,1,32650
Porsche,coupe,basic,,4,120.3,2140,5.1,2,33000
Lotus,coupe,luxus,30.4,4,95.1,1.513,5.2,2,37200
Ford,coupe,luxus,15.8,8,351,3.17,4.9,4,26600
Ferrari,coupe,luxus,19.7,6,145,2.77,5.1,6,59850
Maserati,coupe,luxus,15,-8,301,3.57,4.8,8,59500
Volvo,limosine,basic,,4,121,2.78,3.9,2,21000
